BATTER_ID,BATTER_NAME
817434,Dick Ross
112096,Harry Cassady
120887,Frank Ragland
119197,Dale Mitchell
119534,Masanori Murakami
124587,Chuck Wortman
118676,Howie Mcfarland
121224,Allen Ripley
116258,Rex Hudler
448276,Brett Carroll
117727,Dennis Lewallyn
114115,Bien Figueroa
120230,Clay Parker
430944,Bucky Jacobsen
115485,Bob Harmon
817226,Smith
650888,Kara Blackstone
112900,Henry Cruz
537953,Daniel Nava
123086,Jesse Tannehill
115114,Rusty Greer
114844,Doug Glanville
119136,John Milligan
572119,Patrick Schuster
117057,Ed Killian
276913,Derrick Turnbow
572910,Alex Hassan
112227,Harry Cheek
118791,Barney Mclaughlin
624427,Stephen Gonsalves
112497,Orlin Collier
112014,Chet Carmichael
115132,Ben Grieve
680694,Kyle Bradish
818244,Fred Mcdaniel
114954,Art Goodwin
123862,Jeff Wallace
113315,Jim Devlin
427537,Hunter Wendelstedt
120409,George Perez
111538,Clint Brown
124457,George Winn
119655,Jerry Narron
115127,Reddy Grey
123883,Joe Walsh
820606,Fred Bankhead
112244,Pearce Chiles
665828,Oswaldo Cabrera
116310,Mike Humphreys
110088,Juan Agosto
119975,Troy O'Leary
124713,Russ Young
816459,Zollie Wright
122532,Andy Sommers
122790,Phil Stidham
425146,Nate Robertson
518577,Collin Cowgill
447980,Tony Diaz
817918,Clarence Orme
541663,Greg Royce
118033,Danny Lynch
124593,Gene Wright
111201,Barry Bonnell
111181,Cecil Bolton
117295,Jack Kraus
660294,Yoshi Tsutsugo
121847,Jeff Schneider
117914,Al Lopez
113009,Pete Daley
150277,Doug Davis
115458,Jumbo Harting
115855,John Herrnstein
110066,Spencer Adams
121865,Paul Schreiber
123891,Bernie Walter
110850,Charles Bender
114489,Bill Fulton
643585,Justin Viele
670183,Garrett Acton
275933,Scott Downs
816950,Harold Thompson
502055,Jay Buente
452075,Connor Robertson
122561,Bill Spanswick
118732,Mark Mcgrillis
112303,Bobby Clack
115052,Mickey Grasso
112818,Pete Cregan
111295,Jim Bowie
488681,Brandon Barnes
118759,Otto Mcivor
